pi_key,unique_activities
nih_1858378,1
nih_1858379,1
nih_1858679,1
nih_1859377,1
nih_1860696,1
nih_1860711,1
nih_1862127,1
nih_1863216,1
nih_1863219,1
nih_1863223,1
nih_1863237,1
nih_1863308,1
nih_1863322,1
nih_1863333,1
nih_1863367,1
nih_1863431,1
nih_1864696,1
nih_1865104,1
nih_1865133,1
nih_1865419,1
nih_1866124,1
nih_1866381,1
nih_1866550,1
nih_1866951,1
nih_1867652,1
nih_1867974,1
nih_1868708,1
nih_1869355,1
nih_1869994,1
nih_1871080,1
nih_1871777,1
nih_1871846,1
nih_1872191,1
nih_1873519,1
nih_1875180,1
nih_1876792,1
nih_1876808,1
nih_1878085,1
nih_1880314,1
nih_1880327,1
nih_1880734,1
nih_1881575,1
nih_1881728,1
nih_1883015,1
nih_1883035,1
nih_1883048,1
nih_1883051,1
nih_1883071,1
nih_1883088,1
nih_1883094,1
nih_1883133,1
nih_1883140,1
nih_1883195,1
nih_1883212,1
nih_1883260,1
nih_1883264,1
nih_1884985,1
nih_1885103,1
nih_1885108,1
nih_1885900,1
nih_1887015,1
nih_1887617,1
nih_1887673,1
nih_1887684,1
nih_1887728,1
nih_1887738,1
nih_1887862,1
nih_1890742,1
nih_1891259,1
nih_1891266,1
nih_1893645,1
nih_1893710,1
nih_1893769,1
nih_1893802,1
nih_1894530,1
nih_1896739,1
nih_1896981,1
nih_1897194,1
nih_1898255,1
nih_1898291,1
nih_1898348,1
nih_1898349,1
nih_1898409,1
nih_1898423,1
nih_1901680,1
nih_1903163,1
nih_1921644,1
nih_1924132,1
nih_1925859,1
nih_1927510,1
nih_1928383,1
nih_1928507,1
nih_1929380,1
nih_1931229,1
nih_1940235,1
nih_1940279,1
nih_1940498,1
nih_1955185,1
nih_1964439,1
nih_1964524,1
nih_1964621,1
nih_1964851,1
nih_1964879,1
nih_1965221,1
nih_1973518,1
nih_2100210,1
nih_2261585,1
nih_2419797,1
nih_2787897,1
nih_2967455,1
nih_3054829,1
nih_3095885,1
nih_6199929,1
nih_6364234,1
nih_6380746,1
nih_6667062,1
nih_6724242,1
nih_6746193,1
nih_6981209,1
nih_7354530,1
nih_7355008,1
nih_7733561,1
nih_8005790,1
nih_8066646,1
nih_8066708,1
nih_8068608,1
nih_8328629,1
nih_1859093,1
nih_1859164,1
nih_1860132,1
nih_1862825,1
nih_1862828,1
nih_1863113,1
nih_1863851,1
nih_1863931,1
nih_1865898,1
nih_1868094,1
nih_1871898,1
nih_1876117,1
nih_1877243,1
nih_1878171,1
nih_1880992,1
nih_1882056,1
nih_1883246,1
nih_1888635,1
nih_1888968,1
nih_1896958,1
nih_1898899,1
nih_1901148,1
nih_1901669,1
nih_1901724,1
nih_1903013,1
nih_1968808,1
nih_1978704,1
nih_2279756,1
nih_2452885,1
nih_3119619,1
nih_6189103,1
nih_6404316,1
nih_7354268,1
nih_7714754,1
nih_8225311,1
nih_9574352,1
nih_1858025,2
nih_1858393,2
nih_1858403,2
nih_1858404,2
nih_1859383,2
nih_1859694,2
nih_1860213,2
nih_1860225,2
nih_1860231,2
