Source,Target,Label,Type,PMID_x,PUB_YEAR,COUNTRY,PMID_y,ACTIVITY
"Gao, Jiali","York, Darrin M",18345664.0,Undirected,18345664.0,2008.0,United States,18345664.0,R01
"Gao, Jiali","York, Darrin M",18566190.0,Undirected,18566190.0,2008.0,United States,18566190.0,R01
"Fitzpatrick, Paul F","Gao, Jiali",19926855.0,Undirected,19926855.0,2009.0,United States,19926855.0,R01
"Gao, Jiali","Thomas, David D",19450461.0,Undirected,19450461.0,2009.0,United States,19450461.0,R01
"Gao, Jiali","Taylor, Susan S",21471451.0,Undirected,21471451.0,2011.0,United States,21471451.0,R37
"Taylor, Susan S","Gao, Jiali",23205665.0,Undirected,23205665.0,2012.0,United States,23205665.0,R01
"Gao, Jiali","Gerlt, John A",25275007.0,Undirected,25275007.0,2014.0,United States,25275007.0,R01
"Deng, Li","Gao, Jiali",26120374.0,Undirected,26120374.0,2015.0,,26120374.0,R01
"Gao, Jiali","Taylor, Susan S",25775607.0,Undirected,25775607.0,2015.0,United States,25775607.0,R01
"Deng, Li","Gao, Jiali",26113884.0,Undirected,26113884.0,2015.0,,26113884.0,R01
"Selker, Eric U","Cheng, Xiaodong",12372305.0,Undirected,12372305.0,2002.0,United States,12372305.0,R37
"Selker, Eric U","Cheng, Xiaodong",12887903.0,Undirected,12887903.0,2003.0,United States,12887903.0,R37
"Dunlap, Jay C","Selker, Eric U",15007097.0,Undirected,15007097.0,2004.0,United States,15007097.0,P01
"Selker, Eric U","Cheng, Xiaodong",15590646.0,Undirected,15590646.0,2005.0,United States,15590646.0,R37
"Selker, Eric U","Dunlap, Jay C",21811413.0,Undirected,21811413.0,2011.0,United States,21811413.0,P01
"Selker, Eric U","Mello, Craig C",20417140.0,Undirected,20417140.0,2010.0,United States,20417140.0,R37
"Selker, Eric U","Liu, Yi",20417140.0,Undirected,20417140.0,2010.0,United States,20417140.0,R37
"Mello, Craig C","Liu, Yi",20417140.0,Undirected,20417140.0,2010.0,United States,20417140.0,R37
"Selker, Eric U","David, Larry L",20139222.0,Undirected,20139222.0,2010.0,United States,20139222.0,R37
"Levitt, Michael","Degrado, William F",16126228.0,Undirected,16126228.0,2005.0,England,16126228.0,R37
"Degrado, William F","Solomon, Edward I",19090676.0,Undirected,19090676.0,2009.0,United States,19090676.0,P41
"Gellman, Samuel H","Raines, Ronald T",12121081.0,Undirected,12121081.0,2002.0,United States,12121081.0,R01
"Gellman, Samuel H","Raines, Ronald T",11792194.0,Undirected,11792194.0,2002.0,United States,11792194.0,R01
"Gellman, Samuel H","Rana, Tariq M",14507173.0,Undirected,14507173.0,2003.0,United States,14507173.0,R56
