Id,Group,pi_key,ACTIVITY
"Gao, Jiali",study,nih_1898316,RC1
"York, Darrin M",study,nih_1893802,R01
"Fitzpatrick, Paul F",study,nih_1893773,P41
"Taylor, Susan S",study,nih_1881584,P50
"Gerlt, John A",study,nih_1883078,U54
"Deng, Li",study,nih_6667062,R01
"Selker, Eric U",study,nih_1863298,R37
"Cheng, Xiaodong",study,nih_1896477,P41
"Dunlap, Jay C",study,nih_1887802,P01
"Mello, Craig C",study,nih_1868679,P41
"Liu, Yi",study,nih_1875180,R01
"Degrado, William F",study,nih_1883014,U01
"Levitt, Michael",study,nih_1887745,R37
"Solomon, Edward I",study,nih_1877275,P41
"Imlay, James A",study,nih_1893753,R37
"Gellman, Samuel H",study,nih_1897065,P41
"Menon, Anant K",study,nih_1895501,R01
"Markley, John L",study,nih_1858410,P50
"Forman, Stuart A",study,nih_1902089,P01
"Miller, Keith W",study,nih_1870433,P41
"Ragsdale, Stephen W",study,nih_1898361,P20
"Rosenbaum, Joel L",study,nih_1955194,R01
"Pazour, Gregory J",study,nih_1921644,R01
"Witman, George B",study,nih_1858017,P30
"King, Stephen M",study,nih_1858679,R01
"Schrock, Richard R",study,nih_1868899,R01
"Voth, Gregory A",study,nih_1892179,P50
"Schulten, Klaus J",study,nih_8063951,P41
"Falke, Joseph J",study,nih_1894530,R01
"Li, Rong",study,nih_1880714,P01
"Rosen, Michael K",study,nih_1901068,P01
"Parker, Roy",study,nih_1898331,R37
"Macara, Ian G",study,nih_1858963,P30
"Morgan, David O",study,nih_1865102,R37
"Kirschner, Marc W",study,nih_1863369,RC4
"Otwinowski, Zbyszek",study,nih_1893677,U54
"Gelles, Jeff",study,nih_1858704,R37
"Spector, David L",study,nih_1898347,P01
"Hannon, Gregory J",study,nih_1924153,P01
"Stillman, Bruce W",study,nih_1884018,P01
"Singer, Robert H",study,nih_1880263,P20
"Chanfreau, Guillaume F",study,nih_6364234,R01
"Feigon, Juli F",study,nih_2419797,R01
"Anderson, Karen S",study,nih_1880266,R01
"Chazin, Walter J",study,nih_1879138,P30
"Rapoport, Tom A",study,nih_1893645,R01
"Schepartz, Alanna",study,nih_3095885,R01
"Miller, Scott J",study,nih_1865283,R37
"Walker, Graham C",study,nih_1879567,R01
"Johnson, Eric F",study,nih_1883264,R01
"Shoichet, Brian K",study,nih_2081368,P41
"Gutell, Robin R",study,nih_7354530,R01
"Severinov, Konstantin V",study,nih_3052045,U54
"Landick, Robert",study,nih_1892987,R01
"Muir, Tom",study,nih_1964364,RC2
"Darst, Seth A",study,nih_1901666,P41
"Ebright, Richard H",study,nih_1863260,R01
"Pestova, Tatyana V",study,nih_6724242,R01
"Gourse, Richard L",study,nih_1887786,P41
"Rout, Michael P",study,nih_6488610,U54
"Sullivan, William T",study,nih_1863223,R01
"Kellogg, Douglas R",study,nih_1887617,R01
"Bartholomew, Blaine",study,nih_1880734,R01
"Luger, Karolin",study,nih_6409573,P01
"Tsukiyama, Toshio",study,nih_2261585,R01
"Peterson, Craig L",study,nih_6619701,P01
"Fire, Andrew Z",study,nih_1863286,U54
"Zamore, Phillip D",study,nih_1925912,R37
"Ruvkun, Gary B",study,nih_1893782,R37
"Bartel, David P",study,nih_6406075,P41
"Cleveland, Don W",study,nih_8006252,RC2
"Stearns, Tim",study,nih_1883088,R01
"Salmon, Edward D",study,nih_1898453,R37
"Chan, David C",study,nih_1925088,P41
"Elledge, Stephen J",study,nih_1887701,U19
"Kleckner, Nancy E",study,nih_8328629,R01
"Kowalczykowski, Stephen C",study,nih_1858403,R37
"Stubbe, Joanne",study,nih_2401605,P41
"Walter, Peter",study,nih_1863290,P50
"Stroud, Robert M",study,nih_1858415,P50
"Nunnari, Jodi M",study,nih_1873581,R37
"Puglisi, Joseph D",study,nih_1858393,R37
"Lambowitz, Alan M",study,nih_1876836,R37
"Villeneuve, Anne M",study,nih_1928383,R01
"Shapiro, Lawrence",study,nih_2448085,P41
"Harris, Michael E",study,nih_1886222,R01
